"description","ip_address","nick_name","age","gender","academic_study","start_time","end_time","run_time","data_name","pic_name","pic_id","test_param","param_value","rorschach","curvature","target_curvature","null_curvature","target_variability","null_variability","sample_size","obs_plot_location","response_no","correct","conf_level","choice_reason","participant_count","plot_count"
"emily-log-2","2605:6000:1b02:30a:937e:81bc:8545:dac8","589a7834099998445cd20117a88d444c","31-35","Female","Graduate Degree",1603661674.58534,1603661684.87278,10.2874360084534,"6a72b42ba970ea6798a886761baf324f","plots/svg/16ce6f7a2dfb1a760c7ba8bcd54daccc.svg","11","linear","target-E-Lv_null-H-Lv_r0","0","t-E_n-H","E","H","Lv","Lv",50,17,17,1,"Certain","Different shape",13,13
"emily-log-2","2605:6000:1b02:30a:937e:81bc:8545:dac8","589a7834099998445cd20117a88d444c","31-35","Female","Graduate Degree",1603661684.91206,1603661690.80165,5.88959121704102,"d5c6dd039c67d2cb6771b22aa1c6aaac","plots/svg/929c1e7fdc8f70077cdaf06728393cf6.svg","26","log","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,1,1,1,"Certain","Different shape",13,7
"emily-log-2","2605:6000:1b02:30a:937e:81bc:8545:dac8","589a7834099998445cd20117a88d444c","31-35","Female","Graduate Degree",1603661690.85271,1603661707.94318,17.0904650688171,"3d689aa117d70559b73fe8398f1a44c6","plots/svg/20d0abf28998f59ada75cce6b4999158.svg","21","linear","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,1,1,1,"Certain","Different slope",13,15
"emily-log-2","2605:6000:1b02:30a:937e:81bc:8545:dac8","589a7834099998445cd20117a88d444c","31-35","Female","Graduate Degree",1603661707.98408,1603661736.28678,28.3026988506317,"87f34b01f1fce217b6c33e04da081ed0","plots/svg/35c0c87a6158fa1687b8ff46e56443e6.svg","5","linear","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,12,12,1,"Uncertain","Different slope",13,13
"emily-log-2","2605:6000:1b02:30a:937e:81bc:8545:dac8","589a7834099998445cd20117a88d444c","31-35","Female","Graduate Degree",1603661736.32782,1603661758.15455,21.8267285823822,"7ff3391e264e98652cdb6eb8b85088c4","plots/svg/d8dea45d5c5b31523324bc29de32411f.svg","15","linear","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,1,0,"Certain","Different shape",13,14
"emily-log-2","2605:6000:1b02:30a:937e:81bc:8545:dac8","589a7834099998445cd20117a88d444c","31-35","Female","Graduate Degree",1603661758.19501,1603661763.05509,4.8600811958313,"3d689aa117d70559b73fe8398f1a44c6","plots/svg/d6bc919b68b3711ec58a7d2d12363647.svg","22","log","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,1,1,1,"Very Certain","Different shape",13,13
"emily-log-2","2605:6000:1b02:30a:937e:81bc:8545:dac8","589a7834099998445cd20117a88d444c","31-35","Female","Graduate Degree",1603661763.09685,1603661768.35815,5.26129746437073,"6a72b42ba970ea6798a886761baf324f","plots/svg/19640c3dc14337740f45aee91eed5803.svg","12","log","target-E-Lv_null-H-Lv_r0","0","t-E_n-H","E","H","Lv","Lv",50,17,17,1,"Very Certain","Different slope",13,12
"emily-log-2","2605:6000:1b02:30a:937e:81bc:8545:dac8","589a7834099998445cd20117a88d444c","31-35","Female","Graduate Degree",1603661768.40232,1603661773.47759,5.07527136802673,"d5c6dd039c67d2cb6771b22aa1c6aaac","plots/svg/3abe4bc02329ef5d724fd9ae7d438532.svg","25","linear","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,1,1,1,"Very Certain","Different shape",13,8
"emily-log-2","2605:6000:1b02:30a:937e:81bc:8545:dac8","589a7834099998445cd20117a88d444c","31-35","Female","Graduate Degree",1603661773.55997,1603661779.27149,5.71152663230896,"b79bc1a0fdbb69edc87fe34883a066d6","plots/svg/e9510e025a1152c8bc78255bdc926f93.svg","31","linear","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,12,1,"Very Certain","Different shape",13,13
"emily-log-2","2605:6000:1b02:30a:937e:81bc:8545:dac8","589a7834099998445cd20117a88d444c","31-35","Female","Graduate Degree",1603661779.31425,1603661786.45287,7.13861680030823,"7ff3391e264e98652cdb6eb8b85088c4","plots/svg/2192c71bf5b17dcdc925ca95c98694e0.svg","16","log","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,10,1,"Very Certain","Different shape",13,13
"emily-log-2","2605:6000:1b02:30a:937e:81bc:8545:dac8","589a7834099998445cd20117a88d444c","31-35","Female","Graduate Degree",1603661786.4897,1603661792.49494,6.00523900985718,"87f34b01f1fce217b6c33e04da081ed0","plots/svg/5ecce62e937c1598e901631b3a1821d2.svg","6","log","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,12,12,1,"Very Certain","Different shape",13,13
"emily-log-2","2605:6000:1b02:30a:937e:81bc:8545:dac8","589a7834099998445cd20117a88d444c","31-35","Female","Graduate Degree",1603661792.57811,1603661843.06507,50.4869577884674,"189c61f200c3520ee45009701c11152a","plots/svg/a68246cc6e786d82e422d1fdbbf8d57f.svg","19","linear","target-M-Lv_null-M-Lv_r1","1","t-M_n-M","M","M","Lv","Lv",50,16,4,0,"Very Uncertain","Different range",13,4
"emily-log-2","2605:6000:1b02:30a:937e:81bc:8545:dac8","589a7834099998445cd20117a88d444c","31-35","Female","Graduate Degree",1603661843.10327,1603661848.86216,5.75889492034912,"b79bc1a0fdbb69edc87fe34883a066d6","plots/svg/39f08ba7613fc59a3b114a36a3a14244.svg","32","log","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,12,1,"Neutral","Different shape",13,11
"emily-log-2","","19966d4664333b7f76919371876714d0","31-35","Female","Graduate Degree",1603677157.2943,1603677176.82788,19.5335793495178,"3d689aa117d70559b73fe8398f1a44c6","plots/svg/20d0abf28998f59ada75cce6b4999158.svg","21","linear","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,1,1,1,"Certain","Different shape, Different slope",13,15
"emily-log-2","","19966d4664333b7f76919371876714d0","31-35","Female","Graduate Degree",1603677176.93053,1603677184.73205,7.80151653289795,"3d689aa117d70559b73fe8398f1a44c6","plots/svg/d6bc919b68b3711ec58a7d2d12363647.svg","22","log","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,1,1,1,"Certain","Different shape, Different slope",13,13
"emily-log-2","","19966d4664333b7f76919371876714d0","31-35","Female","Graduate Degree",1603677184.78442,1603677212.87912,28.0947060585022,"7ff3391e264e98652cdb6eb8b85088c4","plots/svg/d8dea45d5c5b31523324bc29de32411f.svg","15","linear","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,7,0,"Uncertain","Outlier(s)",13,14
"emily-log-2","","19966d4664333b7f76919371876714d0","31-35","Female","Graduate Degree",1603677212.94813,1603677222.71924,9.77111911773682,"d14de6e8946c29750256921ce0462931","plots/svg/b3a9571d8982604b9f655471bfe04fc1.svg","9","linear","target-E-Lv_null-H-Lv_r0","0","t-E_n-H","E","H","Lv","Lv",50,15,15,1,"Very Certain","Different shape",13,12
"emily-log-2","","19966d4664333b7f76919371876714d0","31-35","Female","Graduate Degree",1603677222.78892,1603677231.29687,8.50794458389282,"d14de6e8946c29750256921ce0462931","plots/svg/b31a013dcd39fb18f0adb334dea600e1.svg","10","log","target-E-Lv_null-H-Lv_r0","0","t-E_n-H","E","H","Lv","Lv",50,15,15,1,"Very Certain","Different shape",13,12
"emily-log-2","","19966d4664333b7f76919371876714d0","31-35","Female","Graduate Degree",1603677231.37253,1603677274.45222,43.0796914100647,"e76b7c0648df04a607dd2361131db45f","plots/svg/035fa0ba59868d51a7f3ac981ddd15be.svg","3","linear","target-E-Lv_null-E-Lv_r1","1","t-E_n-E","E","E","Lv","Lv",50,18,19,0,"Uncertain","Different slope",13,1
"emily-log-2","","19966d4664333b7f76919371876714d0","31-35","Female","Graduate Degree",1603677274.55772,1603677289.38592,14.8281989097595,"d5c6dd039c67d2cb6771b22aa1c6aaac","plots/svg/929c1e7fdc8f70077cdaf06728393cf6.svg","26","log","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,1,1,1,"Certain","Different shape",13,7
"emily-log-2","","19966d4664333b7f76919371876714d0","31-35","Female","Graduate Degree",1603677289.69324,1603677302.72752,13.0342783927917,"f28e70dc6b7365974b49d253cdd85363","plots/svg/abd7b714d3c960b93247a0a3e0308473.svg","29","linear","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,12,1,"Neutral","Different slope",13,12
"emily-log-2","","19966d4664333b7f76919371876714d0","31-35","Female","Graduate Degree",1603677302.78514,1603677340.47755,37.6924166679382,"87f34b01f1fce217b6c33e04da081ed0","plots/svg/35c0c87a6158fa1687b8ff46e56443e6.svg","5","linear","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,12,12,1,"Neutral","Different shape",13,13
"emily-log-2","","19966d4664333b7f76919371876714d0","31-35","Female","Graduate Degree",1603677340.54698,1603677350.51324,9.96625804901123,"d5c6dd039c67d2cb6771b22aa1c6aaac","plots/svg/3abe4bc02329ef5d724fd9ae7d438532.svg","25","linear","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,1,1,1,"Neutral","Different shape",13,8
"emily-log-2","","19966d4664333b7f76919371876714d0","31-35","Female","Graduate Degree",1603677350.58781,1603677357.61393,7.02612709999084,"87f34b01f1fce217b6c33e04da081ed0","plots/svg/5ecce62e937c1598e901631b3a1821d2.svg","6","log","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,12,12,1,"Neutral","Different slope",13,13
"emily-log-2","","19966d4664333b7f76919371876714d0","31-35","Female","Graduate Degree",1603677357.68401,1603677368.25716,10.5731420516968,"7ff3391e264e98652cdb6eb8b85088c4","plots/svg/2192c71bf5b17dcdc925ca95c98694e0.svg","16","log","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,10,1,"Very Certain","Different slope",13,13
"emily-log-2","","19966d4664333b7f76919371876714d0","31-35","Female","Graduate Degree",1603677368.34093,1603677374.61335,6.27242016792297,"f28e70dc6b7365974b49d253cdd85363","plots/svg/e2e1ff57be869422245fc51b15415492.svg","30","log","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,12,1,"Certain","Different slope",13,12
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Graduate Degree",1603890339.21855,1603890348.51433,9.2957718372345,"6d411bb5d0d26fd3a2d16ae1b8b4445b","plots/svg/c374950bc853aad5a4d3310fe25d9ddb.svg","36","log","target-H-Lv_null-H-Lv_r1","1","t-H_n-H","H","H","Lv","Lv",50,1,2,0,"Very Certain","Different shape",26,3
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Prefer not to answer",1603890339.21855,1603890348.51433,9.2957718372345,"6d411bb5d0d26fd3a2d16ae1b8b4445b","plots/svg/c374950bc853aad5a4d3310fe25d9ddb.svg","36","log","target-H-Lv_null-H-Lv_r1","1","t-H_n-H","H","H","Lv","Lv",50,1,2,0,"Very Certain","Different shape",26,3
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Graduate Degree",1603890348.55401,1603890355.88992,7.33591079711914,"e079c7c97296f2c777bede60f7d1c5b7","plots/svg/ef16f06ed4708fcd12a6249492a1e12a.svg","8","log","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,14,14,1,"Very Certain","Different shape",26,10
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Prefer not to answer",1603890348.55401,1603890355.88992,7.33591079711914,"e079c7c97296f2c777bede60f7d1c5b7","plots/svg/ef16f06ed4708fcd12a6249492a1e12a.svg","8","log","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,14,14,1,"Very Certain","Different shape",26,10
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Graduate Degree",1603890355.94921,1603890361.17087,5.22165656089783,"b79bc1a0fdbb69edc87fe34883a066d6","plots/svg/e9510e025a1152c8bc78255bdc926f93.svg","31","linear","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,12,1,"Very Certain","Different slope",26,13
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Prefer not to answer",1603890355.94921,1603890361.17087,5.22165656089783,"b79bc1a0fdbb69edc87fe34883a066d6","plots/svg/e9510e025a1152c8bc78255bdc926f93.svg","31","linear","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,12,1,"Very Certain","Different slope",26,13
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Graduate Degree",1603890361.22398,1603890372.49979,11.2758069038391,"47748c8978f11fc269bed62ca7f6a4d3","plots/svg/d4332bd8e199471b74969e986f987ac8.svg","27","linear","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,9,9,1,"Very Certain","Different range",26,19
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Prefer not to answer",1603890361.22398,1603890372.49979,11.2758069038391,"47748c8978f11fc269bed62ca7f6a4d3","plots/svg/d4332bd8e199471b74969e986f987ac8.svg","27","linear","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,9,9,1,"Very Certain","Different range",26,19
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Graduate Degree",1603890372.53674,1603890394.26795,21.7312071323395,"d14de6e8946c29750256921ce0462931","plots/svg/b3a9571d8982604b9f655471bfe04fc1.svg","9","linear","target-E-Lv_null-H-Lv_r0","0","t-E_n-H","E","H","Lv","Lv",50,15,15,1,"Very Certain","Different shape",26,12
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Prefer not to answer",1603890372.53674,1603890394.26795,21.7312071323395,"d14de6e8946c29750256921ce0462931","plots/svg/b3a9571d8982604b9f655471bfe04fc1.svg","9","linear","target-E-Lv_null-H-Lv_r0","0","t-E_n-H","E","H","Lv","Lv",50,15,15,1,"Very Certain","Different shape",26,12
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Graduate Degree",1603890394.4371,1603890401.03563,6.59853053092957,"47748c8978f11fc269bed62ca7f6a4d3","plots/svg/f5a285159cccc2e9e1c610c6dab92348.svg","28","log","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,9,9,1,"Very Certain","Different shape, Different slope",26,16
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Prefer not to answer",1603890394.4371,1603890401.03563,6.59853053092957,"47748c8978f11fc269bed62ca7f6a4d3","plots/svg/f5a285159cccc2e9e1c610c6dab92348.svg","28","log","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,9,9,1,"Very Certain","Different shape, Different slope",26,16
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Graduate Degree",1603890401.09144,1603890407.22705,6.13561344146729,"d14de6e8946c29750256921ce0462931","plots/svg/b31a013dcd39fb18f0adb334dea600e1.svg","10","log","target-E-Lv_null-H-Lv_r0","0","t-E_n-H","E","H","Lv","Lv",50,15,15,1,"Very Certain","Different shape",26,12
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Prefer not to answer",1603890401.09144,1603890407.22705,6.13561344146729,"d14de6e8946c29750256921ce0462931","plots/svg/b31a013dcd39fb18f0adb334dea600e1.svg","10","log","target-E-Lv_null-H-Lv_r0","0","t-E_n-H","E","H","Lv","Lv",50,15,15,1,"Very Certain","Different shape",26,12
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Graduate Degree",1603890407.29004,1603890446.13989,38.8498454093933,"8ad2ea6719790c191cedf1038d3cbca5","plots/svg/5df2947852318075a066e55984da5020.svg","13","linear","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,13,0,"Neutral","Different range",26,11
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Prefer not to answer",1603890407.29004,1603890446.13989,38.8498454093933,"8ad2ea6719790c191cedf1038d3cbca5","plots/svg/5df2947852318075a066e55984da5020.svg","13","linear","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,13,0,"Neutral","Different range",26,11
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Graduate Degree",1603890446.19715,1603890453.58815,7.39099383354187,"8ad2ea6719790c191cedf1038d3cbca5","plots/svg/df10610fd0e27c50fe0db5b8ca04f080.svg","14","log","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,10,1,"Very Certain","Different shape",26,11
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Prefer not to answer",1603890446.19715,1603890453.58815,7.39099383354187,"8ad2ea6719790c191cedf1038d3cbca5","plots/svg/df10610fd0e27c50fe0db5b8ca04f080.svg","14","log","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,10,1,"Very Certain","Different shape",26,11
"emily-log-2","76.85.152.163","f9cd0853cfefc7c816a417b1909fb239","31-35","Female","Graduate Degree",1603890453.64612,1603890479.80478,26.1586532592773,"184b9f1a90081e0ffeedc112c6431d9c","plots/svg/a22fa470f1028ba1fa6fc5d121887a46.svg","23","linear","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,13,13,1,"Neutral","Different shape",26,10
