"description","ip_address","nick_name","age","gender","academic_study","start_time","end_time","run_time","data_name","pic_name","pic_id","test_param","param_value","rorschach","target_curvature","null_curvature","target_variability","null_variability","sample_size","obs_plot_location","response_no","correct","conf_level","choice_reason","participant_count","plot_count"
"emily-log-1","","03c6d560019e730ce7b027c0f20c5e6b","19-25","Male","Graduate Degree",1600377031.16692,1600377103.10645,71.9395318031311,"cf621070be1f4481228a7de31e9e9a5f","plots/svg/510fa028a59619e7c4223a77fcd11481.svg","85","linear","target-H-Hv_null-M-Hv_r0","0","H","M","Hv","Hv",50,3,3,1,"Certain","Different shape",20,15
"emily-log-1","","07dadd09cb57fed241ee524e5205d77e","26-30","Female","Graduate Degree",1600377066.12233,1600377104.34765,38.2253220081329,"cf621070be1f4481228a7de31e9e9a5f","plots/svg/510fa028a59619e7c4223a77fcd11481.svg","85","linear","target-H-Hv_null-M-Hv_r0","0","H","M","Hv","Hv",50,3,3,1,"Certain","Different slope",20,15
"emily-log-1","","9a3d5d853396f7ac025dbc061cf14d2d","19-25","Female","Some Graduate Courses",1600377067.58588,1600377109.73369,42.1478135585785,"cf621070be1f4481228a7de31e9e9a5f","plots/svg/510fa028a59619e7c4223a77fcd11481.svg","85","linear","target-H-Hv_null-M-Hv_r0","0","H","M","Hv","Hv",50,3,13,0,"Uncertain","Different slope",20,15
"emily-log-1","","03c6d560019e730ce7b027c0f20c5e6b","19-25","Male","Graduate Degree",1600377103.12551,1600377129.41854,26.2930302619934,"cfa150994c28aa3f4f786ef2c79d248d","plots/svg/b21d296f229330c50210253ef86d8343.svg","27","linear","target-E-Hv_null-M-Hv_r0","0","E","M","Hv","Hv",50,4,4,1,"Certain","Different shape",20,17
"emily-log-1","","03f5397105d524e8af0e33e4f39a95a4","31-35","Female","Graduate Degree",1600377069.81175,1600377130.37037,60.5586256980896,"cf621070be1f4481228a7de31e9e9a5f","plots/svg/510fa028a59619e7c4223a77fcd11481.svg","85","linear","target-H-Hv_null-M-Hv_r0","0","H","M","Hv","Hv",50,3,17,0,"Neutral","Different slope",21,15
"emily-log-1","","03f5397105d524e8af0e33e4f39a95a4","31-35","Female","Graduate Degree",1600377069.81175,1600377130.37037,60.5586256980896,"cf621070be1f4481228a7de31e9e9a5f","plots/svg/510fa028a59619e7c4223a77fcd11481.svg","85","linear","target-H-Hv_null-M-Hv_r0","0","H","M","Hv","Hv",50,3,3,1,"Neutral","Different slope",21,15
"emily-log-1","","9a3d5d853396f7ac025dbc061cf14d2d","19-25","Female","Some Graduate Courses",1600377109.75326,1600377139.09944,29.3461799621582,"cfa150994c28aa3f4f786ef2c79d248d","plots/svg/b21d296f229330c50210253ef86d8343.svg","27","linear","target-E-Hv_null-M-Hv_r0","0","E","M","Hv","Hv",50,4,5,0,"Uncertain","Clustering",20,17
"emily-log-1","","9a3d5d853396f7ac025dbc061cf14d2d","19-25","Female","Some Graduate Courses",1600377139.1164,1600377167.72651,28.610116481781,"33d2d102c55eab616f69731f80f59361","plots/svg/32a661921be0592163322a27fffb0d7f.svg","46","log","target-M-Lv_null-H-Lv_r0","0","M","H","Lv","Lv",50,13,13,1,"Neutral","Different shape",20,7
"emily-log-1","","03c6d560019e730ce7b027c0f20c5e6b","19-25","Male","Graduate Degree",1600377129.43585,1600377173.85674,44.4208896160126,"33d2d102c55eab616f69731f80f59361","plots/svg/32a661921be0592163322a27fffb0d7f.svg","46","log","target-M-Lv_null-H-Lv_r0","0","M","H","Lv","Lv",50,13,14,0,"Uncertain","Clustering",20,7
"emily-log-1","","03f5397105d524e8af0e33e4f39a95a4","31-35","Female","Graduate Degree",1600377130.39564,1600377178.12829,47.7326416969299,"cfa150994c28aa3f4f786ef2c79d248d","plots/svg/b21d296f229330c50210253ef86d8343.svg","27","linear","target-E-Hv_null-M-Hv_r0","0","E","M","Hv","Hv",50,4,13,0,"Certain","Different slope",21,17
