"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name"
1,20,"linear","target-E-Lv_null-E-Hv_r0",1,1,"plots/svg/e5d949ad30b552d1443f5eee9630b83b.svg","emily-log-1",102,"ac3e723d499faafa1222502759ea42e2"
2,20,"log","target-E-Lv_null-E-Hv_r0",1,1,"plots/svg/747ae27ec69d61897629d1544e867ff2.svg","emily-log-1",202,"ac3e723d499faafa1222502759ea42e2"
3,20,"linear","target-E-Lv_null-E-Hv_r0",1,9,"plots/svg/e8656ae44019a1bced0cd4adb3b4a8ce.svg","emily-log-1",102,"72e17c3b66e065c38bc0ab1c2b3c93e5"
4,20,"log","target-E-Lv_null-E-Hv_r0",1,9,"plots/svg/9ad3cf31ba5fd12318850162c9fa9ea5.svg","emily-log-1",202,"72e17c3b66e065c38bc0ab1c2b3c93e5"
5,20,"linear","target-E-Lv_null-M-Lv_r0",1,18,"plots/svg/416370f57ce05d2a0dbf786b34dfbe18.svg","emily-log-1",103,"7ea8d6daf231f3aba2fc1909cdd4b2dd"
6,20,"log","target-E-Lv_null-M-Lv_r0",1,18,"plots/svg/e653d21c86c676c5e0c39d070ab718d1.svg","emily-log-1",203,"7ea8d6daf231f3aba2fc1909cdd4b2dd"
7,20,"linear","target-E-Lv_null-M-Lv_r0",1,12,"plots/svg/e2935e32243c9d6dd206a70188c7e491.svg","emily-log-1",103,"d459837ec1b30656a320b5bc0e013812"
8,20,"log","target-E-Lv_null-M-Lv_r0",1,12,"plots/svg/21a7f1f88e9e85fa14df73505d98869b.svg","emily-log-1",203,"d459837ec1b30656a320b5bc0e013812"
9,20,"linear","target-E-Lv_null-H-Lv_r0",1,19,"plots/svg/0b99b46d2576ce67a7afea7abde76941.svg","emily-log-1",105,"55cbfe7b2bf936ed476a76986bd593f5"
10,20,"log","target-E-Lv_null-H-Lv_r0",1,19,"plots/svg/f0b241f55e3dedc121033ce119bbbbe6.svg","emily-log-1",205,"55cbfe7b2bf936ed476a76986bd593f5"
11,20,"linear","target-E-Lv_null-H-Lv_r0",1,18,"plots/svg/86f92eadbfb788f045c335744fac7cb4.svg","emily-log-1",105,"c6262f4a1fd7ce2d13ae477997b8ac73"
12,20,"log","target-E-Lv_null-H-Lv_r0",1,18,"plots/svg/da2e9cee72663debbdb7a86ff21ad0c0.svg","emily-log-1",205,"c6262f4a1fd7ce2d13ae477997b8ac73"
13,20,"linear","target-E-Hv_null-E-Lv_r0",1,10,"plots/svg/651f78937ad2e87ed0d562e166400ff3.svg","emily-log-1",107,"0daf42a009c00aa62255f16c62a26e7d"
14,20,"log","target-E-Hv_null-E-Lv_r0",1,10,"plots/svg/69cb61e786336e6dbdfc59630396ab47.svg","emily-log-1",207,"0daf42a009c00aa62255f16c62a26e7d"
15,20,"linear","target-E-Hv_null-E-Lv_r0",1,13,"plots/svg/b343aaa3431132317abe107a3666ef99.svg","emily-log-1",107,"3f5659a308f52691507080a041516ae4"
16,20,"log","target-E-Hv_null-E-Lv_r0",1,13,"plots/svg/4d6b5794cb6d21e73a204b989786188b.svg","emily-log-1",207,"3f5659a308f52691507080a041516ae4"
17,20,"linear","target-E-Hv_null-M-Hv_r0",1,14,"plots/svg/edc6e717ca2f833c6a104752352d4d41.svg","emily-log-1",110,"36ac711eafe30666f38109b8bf2a8c1b"
18,20,"log","target-E-Hv_null-M-Hv_r0",1,14,"plots/svg/882a3336f895b60ac24b576205b97c05.svg","emily-log-1",210,"36ac711eafe30666f38109b8bf2a8c1b"
19,20,"linear","target-E-Hv_null-M-Hv_r0",1,8,"plots/svg/11151fa983859ab70ad77ac391e1fbb5.svg","emily-log-1",110,"ad8c1d9733091b46d32d2f8ad48a5f7f"
20,20,"log","target-E-Hv_null-M-Hv_r0",1,8,"plots/svg/c50b950e9ac63564529ee0675a57c8b4.svg","emily-log-1",210,"ad8c1d9733091b46d32d2f8ad48a5f7f"
21,20,"linear","target-E-Hv_null-H-Hv_r0",1,9,"plots/svg/32b502f84223f473fbfdc74bc1f0c1c4.svg","emily-log-1",112,"35e12a4f8baef7771d9cbcdb4f29d1da"
22,20,"log","target-E-Hv_null-H-Hv_r0",1,9,"plots/svg/90e9333ba1c67aae8668177f40dbd9bc.svg","emily-log-1",212,"35e12a4f8baef7771d9cbcdb4f29d1da"
23,20,"linear","target-E-Hv_null-H-Hv_r0",1,2,"plots/svg/2c56fe4c38b421f18a1e61b08ab61d39.svg","emily-log-1",112,"54cff11d753ba1c9bd20e54c42d0f532"
24,20,"log","target-E-Hv_null-H-Hv_r0",1,2,"plots/svg/af6d123a676b33b273c129dca08da7c9.svg","emily-log-1",212,"54cff11d753ba1c9bd20e54c42d0f532"
25,20,"linear","target-M-Lv_null-E-Lv_r0",1,1,"plots/svg/7faece98b642698d986776f286c2b7fa.svg","emily-log-1",113,"46116caba6ee228e8c18b99298447cb7"
26,20,"log","target-M-Lv_null-E-Lv_r0",1,1,"plots/svg/a8df595df95cf39ca15ee51fe4b48783.svg","emily-log-1",213,"46116caba6ee228e8c18b99298447cb7"
27,20,"linear","target-M-Lv_null-E-Lv_r0",1,19,"plots/svg/f2102c1564c9077af7dc1797f93d502c.svg","emily-log-1",113,"807b524119b7caeb3bd5a82cd6dd1315"
28,20,"log","target-M-Lv_null-E-Lv_r0",1,19,"plots/svg/461f77666f8f0d650e20bf09e419ffe7.svg","emily-log-1",213,"807b524119b7caeb3bd5a82cd6dd1315"
29,20,"linear","target-M-Lv_null-M-Hv_r0",1,18,"plots/svg/0e117c19245e48e1b3533d259fe9f69e.svg","emily-log-1",116,"af3c14ef3e3f6086bd1b141d6a0ee808"
30,20,"log","target-M-Lv_null-M-Hv_r0",1,18,"plots/svg/47f70dfa86c28d752d61447ae849a280.svg","emily-log-1",216,"af3c14ef3e3f6086bd1b141d6a0ee808"
31,20,"linear","target-M-Lv_null-M-Hv_r0",1,9,"plots/svg/c8ac36916092ccac2478ddd96cf25f8d.svg","emily-log-1",116,"261af4e5d0a1a53464da905fee14957b"
32,20,"log","target-M-Lv_null-M-Hv_r0",1,9,"plots/svg/f67d7ffc9190e95d25a9520a24ba202c.svg","emily-log-1",216,"261af4e5d0a1a53464da905fee14957b"
33,20,"linear","target-M-Lv_null-H-Lv_r0",1,5,"plots/svg/485dc8e6fa8c3620472b194c409748cc.svg","emily-log-1",117,"a32708798abeafecb00abbcddc658b78"
34,20,"log","target-M-Lv_null-H-Lv_r0",1,5,"plots/svg/bb68861733482d1e2fb6d9cb651d52b0.svg","emily-log-1",217,"a32708798abeafecb00abbcddc658b78"
35,20,"linear","target-M-Lv_null-H-Lv_r0",1,6,"plots/svg/c826f39b745f6eab57ac57e4ba982fea.svg","emily-log-1",117,"bdb4ea08ff195ebe5dd0fbc98e81fdaa"
36,20,"log","target-M-Lv_null-H-Lv_r0",1,6,"plots/svg/7759f7ea97f73ccb05f65db2a0de87ec.svg","emily-log-1",217,"bdb4ea08ff195ebe5dd0fbc98e81fdaa"
37,20,"linear","target-M-Hv_null-E-Hv_r0",1,18,"plots/svg/56abcda91f4cef490db0cc2cd54f5a1c.svg","emily-log-1",120,"eeccc3ee9193d5e62c1d49e4f73c9e25"
38,20,"log","target-M-Hv_null-E-Hv_r0",1,18,"plots/svg/22032468fb7544167c71fd6048bc3421.svg","emily-log-1",220,"eeccc3ee9193d5e62c1d49e4f73c9e25"
39,20,"linear","target-M-Hv_null-E-Hv_r0",1,17,"plots/svg/b42b2ca2d14fc74826dcaca7ce4c55af.svg","emily-log-1",120,"696196cda193a7b9bbfe58ef09e3625b"
40,20,"log","target-M-Hv_null-E-Hv_r0",1,17,"plots/svg/f5eddef92b8c11d1f1e48bc6b5a8bae1.svg","emily-log-1",220,"696196cda193a7b9bbfe58ef09e3625b"
41,20,"linear","target-M-Hv_null-M-Lv_r0",1,6,"plots/svg/487ad5f8799354ee13125e337aafcb33.svg","emily-log-1",121,"86a3869e99f26ae37d59a62de2736470"
