"description","nick_name","start_time","end_time","run_time","run","data_name","pic_name","pic_id","test_param","param_value","rorschach","curvature","target_curvature","null_curvature","target_variability","null_variability","sample_size","obs_plot_location","response_no","correct","conf_level","choice_reason","participant_count","plot_count"
"emily-log-2","01861fb3b1d46b85235b5f9fa2c2b183",1606450090.20365,1606450131.96004,41.7563905715942,"1","8ad2ea6719790c191cedf1038d3cbca5","plots/svg/5df2947852318075a066e55984da5020.svg","13","linear","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,8,0,"Certain","Outlier(s)",6,22
"emily-log-2","01861fb3b1d46b85235b5f9fa2c2b183",1606450131.99614,1606450200.17908,68.1829423904419,"1","e079c7c97296f2c777bede60f7d1c5b7","plots/svg/19458f4a249031b8179c02b343dffe30.svg","7","linear","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,14,14,1,"Certain","Different shape",6,24
"emily-log-2","01861fb3b1d46b85235b5f9fa2c2b183",1606450200.23176,1606450226.74029,26.5085325241089,"1","8ad2ea6719790c191cedf1038d3cbca5","plots/svg/df10610fd0e27c50fe0db5b8ca04f080.svg","14","log","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,10,1,"Certain","Different slope",6,23
"emily-log-2","01861fb3b1d46b85235b5f9fa2c2b183",1606450226.77649,1606450290.84208,64.0655851364136,"1","3d689aa117d70559b73fe8398f1a44c6","plots/svg/20d0abf28998f59ada75cce6b4999158.svg","21","linear","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,1,3,0,"Certain","Clustering",6,28
"emily-log-2","01861fb3b1d46b85235b5f9fa2c2b183",1606450290.89906,1606450341.75096,50.8518965244293,"1","e079c7c97296f2c777bede60f7d1c5b7","plots/svg/ef16f06ed4708fcd12a6249492a1e12a.svg","8","log","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,14,14,1,"Certain","Outlier(s)",6,21
"emily-log-2","01861fb3b1d46b85235b5f9fa2c2b183",1606450341.80161,1606450414.20818,72.4065699577332,"1","3d689aa117d70559b73fe8398f1a44c6","plots/svg/d6bc919b68b3711ec58a7d2d12363647.svg","22","log","target-M-Lv_null-H-Lv_r0","0","t-M_n-H","M","H","Lv","Lv",50,1,10,0,"Neutral","Clustering",6,23
"emily-log-2","07917c8f20bd64d139a5b2236f7e4e17",1606151413.59637,1606151494.92609,81.3297173976898,"2","d5c6dd039c67d2cb6771b22aa1c6aaac","plots/svg/929c1e7fdc8f70077cdaf06728393cf6.svg","26","log","target-H-Lv_null-E-Lv_r0","0","t-H_n-E","H","E","Lv","Lv",50,1,1,1,"Certain","Different shape",13,22
"emily-log-2","07917c8f20bd64d139a5b2236f7e4e17",1606151494.99906,1606151583.37738,88.3783116340637,"2","f28e70dc6b7365974b49d253cdd85363","plots/svg/abd7b714d3c960b93247a0a3e0308473.svg","29","linear","target-H-Lv_null-M-Lv_r0","0","t-H_n-M","H","M","Lv","Lv",50,12,18,0,"Certain","Clustering",13,21
"emily-log-2","07917c8f20bd64d139a5b2236f7e4e17",1606151583.41475,1606151736.39713,152.982380867004,"2","7ff3391e264e98652cdb6eb8b85088c4","plots/svg/d8dea45d5c5b31523324bc29de32411f.svg","15","linear","target-M-Lv_null-E-Lv_r0","0","t-M_n-E","M","E","Lv","Lv",50,10,12,0,"Neutral","Other, Least variability about line",13,21
"emily-log-2","07917c8f20bd64d139a5b2236f7e4e17",1606151736.4543,1606151785.49507,49.0407652854919,"2","87f34b01f1fce217b6c33e04da081ed0","plots/svg/5ecce62e937c1598e901631b3a1821d2.svg","6","log","target-E-Lv_null-M-Lv_r0","0","t-E_n-M","E","M","Lv","Lv",50,12,12,1,"Certain","Different shape",13,20
